Frame,L5 x_mean,L5 x_std,L5 x_min,L5 x_max,L5 x_auc,L5 x_peaks,L5 y_mean,L5 y_std,L5 y_min,L5 y_max,L5 y_auc,L5 y_peaks,L5 z_mean,L5 z_std,L5 z_min,L5 z_max,L5 z_auc,L5 z_peaks,T12 x_mean,T12 x_std,T12 x_min,T12 x_max,T12 x_auc,T12 x_peaks,T12 y_mean,T12 y_std,T12 y_min,T12 y_max,T12 y_auc,T12 y_peaks,T12 z_mean,T12 z_std,T12 z_min,T12 z_max,T12 z_auc,T12 z_peaks,L5 rms_xy_mean,L5 rms_xy_std,L5 rms_xy_min,L5 rms_xy_max,L5 rms_xy_auc,L5 rms_xy_peaks,L5 rms_yz_mean,L5 rms_yz_std,L5 rms_yz_min,L5 rms_yz_max,L5 rms_yz_auc,L5 rms_yz_peaks,L5 rms_zx_mean,L5 rms_zx_std,L5 rms_zx_min,L5 rms_zx_max,L5 rms_zx_auc,L5 rms_zx_peaks,L5 rms_xyz_mean,L5 rms_xyz_std,L5 rms_xyz_min,L5 rms_xyz_max,L5 rms_xyz_auc,L5 rms_xyz_peaks,L5 roll_mean,L5 roll_std,L5 roll_min,L5 roll_max,L5 roll_auc,L5 roll_peaks,L5 pitch_mean,L5 pitch_std,L5 pitch_min,L5 pitch_max,L5 pitch_auc,L5 pitch_peaks,T12 rms_xy_mean,T12 rms_xy_std,T12 rms_xy_min,T12 rms_xy_max,T12 rms_xy_auc,T12 rms_xy_peaks,T12 rms_yz_mean,T12 rms_yz_std,T12 rms_yz_min,T12 rms_yz_max,T12 rms_yz_auc,T12 rms_yz_peaks,T12 rms_zx_mean,T12 rms_zx_std,T12 rms_zx_min,T12 rms_zx_max,T12 rms_zx_auc,T12 rms_zx_peaks,T12 rms_xyz_mean,T12 rms_xyz_std,T12 rms_xyz_min,T12 rms_xyz_max,T12 rms_xyz_auc,T12 rms_xyz_peaks,T12 roll_mean,T12 roll_std,T12 roll_min,T12 roll_max,T12 roll_auc,T12 roll_peaks,T12 pitch_mean,T12 pitch_std,T12 pitch_min,T12 pitch_max,T12 pitch_auc,T12 pitch_peaks,Class
0,0.011449270183333329,0.13274146347647262,-0.315158103,0.375157533,0.6623337509999999,32,-0.012295388266666672,0.12083349831277915,-0.276572105,0.320081712,-0.723112484,33,0.005903762966666666,0.07954193703971163,-0.155134488,0.24497872,0.35006095550000005,35,0.03011009388333333,0.2392145919306598,-0.59575254,0.706717262,1.7595202395,30,-0.01249211446666667,0.2115875769544133,-0.516122107,0.568088713,-0.7230592069999997,31,0.014985464933333335,0.1354229440306317,-0.292990345,0.3292543,0.8912492955000001,33,0.10558965526121745,0.0714315833660912,0.0087674063247986,0.32763532590103134,6.322421654175723,35,0.08652346823080787,0.05541238103056612,0.013240227620694989,0.285014802781969,5.197443171996517,40,0.08599416336619743,0.06827577832840212,0.0050530921197581595,0.27660202940688533,5.1491860062522905,39,0.09647846213150023,0.060389805983452824,0.016441220761585863,0.29022528996754926,5.782344811590632,35,-6.9800143667679375,51.99677068035438,-81.13724376040567,87.00478965149057,-406.7160715523452,35,-0.5069132132853958,47.54433472843077,-76.76708911893085,84.15170495784301,-42.190565089995076,34,0.18633574223820817,0.12964099799171444,0.014251143490440371,0.6163646939696532,11.15517997089157,35,0.15084638667879083,0.09481568653547072,0.014398067725194533,0.4289879295701914,9.062067188877121,40,0.15142477854837572,0.12416772841313826,0.01077926636190991,0.5211226122367344,9.065388129453032,41,0.1700308819107024,0.10783943297127976,0.03030381510129023,0.5175258890479805,10.189505860053094,35,-3.512784681958853,51.72666552192636,-80.75571108010134,87.02585290026366,-199.0560801119518,35,1.509054691071934,47.75072667112163,-80.28945776160369,83.80004613346884,78.72857216986043,30,0
60,-0.03152129516666667,0.34820583461118665,-0.80505067,1.370929796,-1.5407480384999994,32,0.011113236399999999,0.19968084921438298,-0.500589123,0.404245571,0.5400079654999996,30,0.05960233553333334,0.3189101647828962,-0.5766213,1.409119297,3.580090815,27,-0.07669321009999999,0.6393098787707597,-1.537697218,2.398997254,-3.901695426499994,32,0.020323238633333345,0.34120701267441655,-0.964692175,0.747397892,1.0200400839999997,26,0.11081293465,0.6015618158544297,-1.083131755,2.670527442,6.706399897,29,0.22758965836777661,0.1712348324386632,0.02626073273063164,0.9864289977236211,13.439130314472523,41,0.19234811560974246,0.18875444632101226,0.0183871954921546,0.9976569963487293,11.540293414073387,38,0.23161528641151993,0.24515887207090672,0.008007885046589143,1.3389103174111276,13.68384848815683,38,0.22663574754295088,0.19442366649694187,0.03855915120142126,1.1033279212877416,13.435349051680841,38,2.650931672167247,45.41365172162549,-88.46376115201664,80.07222001243044,127.03781519126295,28,-7.546843876918217,51.950362469236794,-82.81275961399379,85.71361548999631,-420.29967168846895,30,0.40950375733873073,0.313087507373735,0.05305538138025419,1.710839985150329,24.093252086873687,36,0.34245479424246594,0.35807877073855643,0.02818708792397771,1.8891221134679783,20.47280721744904,38,0.4265585915652755,0.4608962086375019,0.015526094906824479,2.485488212641074,25.14025845491924,39,0.41013838638599304,0.3655816670795453,0.07396540255328453,2.0374872102039685,24.23804315639662,43,1.1112471619540893,44.2333795860317,-88.44419148397493,75.75039854887994,38.46909027675541,28,-8.787377869611124,52.48634947381386,-83.18239142684924,86.402197701505,-493.3208322180609,32,0
120,0.022407145299999997,0.6003772326432708,-1.30340764,1.292384058,0.6715035614999979,35,0.02555451791666667,0.4277348753760781,-0.877881972,0.872092877,1.3205834554999987,31,-0.05288907028333333,0.35997952636016856,-1.440438859,0.40493936,-4.034098966,31,0.015884806850000006,1.1239797263109343,-2.469104695,2.444353904,-0.15363210450000098,33,0.06367537511666664,0.7317398883848203,-1.659461222,1.559536208,3.981744856499999,31,-0.08799785941666666,0.6070220135406583,-2.719070721,0.761208086,-6.5213665575,33,0.4540895204034283,0.25707048990053166,0.04133620591071862,1.0095131318199833,27.476029236400336,38,0.3261046512907351,0.22727096489209195,0.017043900054184928,1.1711644806676094,19.956519497076712,36,0.42155769366286183,0.26259820697989483,0.0709318013716044,1.1878059996959853,25.70009300230091,38,0.4159425759133707,0.22943618751002479,0.067200995718793,1.0942947413121333,25.302595068987277,36,6.733164751994881,42.59045230040554,-70.96625236563855,73.16959895025433,410.94882164763476,31,-0.8371162432101904,56.567599577452675,-87.56746988738675,77.92488214715588,-93.0076332778919,33,0.8243389768084769,0.4711746345703729,0.08247058953030202,1.9080595840017962,49.60590258039444,38,0.5681966460138945,0.36743864028683093,0.042983254318381396,1.9301567835842457,34.42009736132532,35,0.7681180878860717,0.4794743510116187,0.16799096532000668,2.014680668996063,46.585591039804534,39,0.7507869186532018,0.40342571659018167,0.1852703034425683,1.6508120454982096,45.38119049015824,35,6.631819708667759,42.24196496934964,-71.82640686216907,76.513041570946,414.74573070389664,29,-3.0190848105799377,56.863804201031876,-86.83995286988011,77.16144291021783,-227.61516868781877,29,0
180,0.03501861961666666,0.5635564014854606,-1.107644913,1.375268028,2.2320773600000012,27,-0.13783155034999997,0.47603874419351466,-1.120733563,1.046369201,-8.796228934999998,35,-0.005341393699999999,0.4151479218182176,-1.119374648,1.06721907,-0.1417896965000001,31,0.0850293073833333,1.0377585587790663,-2.084278239,2.628991801,5.416264006500003,27,-0.24964371966666662,0.8706014890676338,-2.116972259,1.874395101,-15.798666754999994,31,-0.009903346933333335,0.765252978727819,-2.116419644,1.785675123,-0.19303424599999935,29,0.46646382640407186,0.25421992539262667,0.06695131802913445,1.2320715956005905,27.730032673063295,30,0.39837299810374865,0.22425951316000808,0.018972300377336035,1.0073079621482721,23.67097330519147,34,0.42809901139821116,0.2496606914709345,0.00996994891944249,1.1781473009605075,25.836954907925502,32,0.44490165426580036,0.21832424295958497,0.056817383472482,1.1431973889131626,26.532012487163925,30,-12.7334121573172,43.331171647487714,-78.01151580106976,89.4317197742222,-813.0491504278209,37,6.043751865517635,51.22493927746443,-86.01527139465455,82.79418802420483,386.04043248710883,27,0.8515788397444549,0.47648122122915854,0.1076829936420263,2.3505143477030863,50.685529083165164,34,0.7344840228756055,0.4043795108243036,0.10259580344353825,1.9113109469794585,43.69433073190322,31,0.7888467389598258,0.461153256537603,0.03820000678744874,2.244947600059002,47.67723928099515,34,0.8171969516420091,0.40279000872348264,0.1884336255725712,2.1769869821852597,48.79652764576205,31,-11.067420313136003,44.168772865158914,-75.94218419672006,88.83247869036512,-699.5761290080634,33,5.383650568072955,50.05684420938372,-73.76616133376636,83.4251665162734,346.7839010689377,27,0
240,-0.07221892038333334,0.693641688824414,-1.870131612,1.844777185,-4.7617495195,28,0.02769749981666668,0.90553506801017,-2.486365709,3.146030859,1.7772503040000016,31,0.03975561416666666,0.5712753989595513,-1.352828061,1.52776069,2.2418966390000006,36,-0.12872700731666667,1.3269777008238126,-3.545317594,3.705222577,-8.444837873500003,32,0.03964388103333336,1.6995019954041581,-4.717446342,5.927429906,2.5508976595000026,29,0.07053509730000002,1.0346892512419092,-2.55009312,2.883646592,3.917047869000002,36,0.6475930959147645,0.48392232851763406,0.04019657459134798,2.2690503900109174,39.0880846914956,30,0.6022108861535431,0.4600984125177838,0.025874521858144484,2.286080927964102,36.18765792700321,38,0.5353876678139683,0.34713869386465884,0.0498902770535981,1.4836159637412816,32.32501613916298,39,0.6179735325830988,0.4038883943299423,0.045600032980402265,1.90192895042897,37.246421124308796,31,3.2270723966299166,48.87969645722158,-80.22528068342656,78.83148101896002,184.58614428963426,27,-14.247553037024074,44.70111900172475,-80.67837836595338,69.71217386852935,-892.2579015823592,32,1.2181849856528497,0.9217835461870614,0.07397145835585761,4.280878026119584,73.45838569307459,28,1.1161888025385656,0.8583940908603138,0.04811704535256248,4.3091018167808315,67.04844660286355,38,0.9925895798547827,0.6642775622473006,0.09604399226226337,2.872946724085529,59.876552123139035,39,1.1548433564275227,0.7619900794443369,0.0871990643240127,3.5895275916315033,69.55211676781401,31,2.719694392004928,49.19872377293722,-81.14114224425668,79.0988205300682,154.44891752605648,31,-14.206519820845017,45.04625384650212,-80.94305450628949,70.36064204569897,-889.2475746543066,34,0
300,-0.046967772883333356,1.0571989211987487,-2.809961698,2.098333984,-2.9763568175,29,0.019658860750000017,1.2358067948104396,-4.07880999,2.169644852,1.3835631880000023,29,-0.002611438149999997,0.8093893559661488,-2.102541491,1.717808975,0.34349537450000034,28,-0.0799451333833333,2.004060267315614,-5.288927771,4.009467723,-5.152075163999997,31,0.04784918174999996,2.309527451270812,-7.729149255,4.073023559,3.102293675999996,29,0.002463440833333345,1.4771582255074072,-3.970625345,2.862074496,1.0299510040000013,30,0.9776295484711031,0.6066141143640793,0.0891391901727965,3.5023260612592058,58.76484193008049,37,0.8955151809493002,0.5379721068256387,0.1605404293998162,3.214900421942543,53.9178903239125,33,0.7734998794902542,0.5377682366461648,0.002142467291227103,2.442372131321917,46.49560554567418,34,0.9109541061475681,0.5206042112194323,0.145352484674076,3.0858307466137176,54.78776927129864,35,6.958583923043008,53.92840168698002,-84.98372944523754,89.6028680695809,423.2476166121074,31,1.2122878698021997,43.061642861531396,-81.49685072761747,71.98195360413061,50.488370520015366,30,1.839980605709057,1.1374968380135104,0.18426297149689302,6.6224053474897655,110.49925594619012,33,1.6572399837990934,1.00631017988682,0.30603087213530705,6.086244077251125,99.67985576589017,33,1.4418041455471746,1.011694836122954,0.05021257767721881,4.599877318828013,86.63079246483132,36,1.7010575242958863,0.9763994675313291,0.2802964627195223,5.832594931435002,102.22553896076589,35,6.93064889001616,53.537771731588286,-85.50111686802866,88.37546735501269,419.0356905528318,31,1.724396464089975,43.93524885667849,-80.2847406155016,73.38573096624378,78.19369942804859,30,0
360,-0.1776793746833333,2.314371285292133,-9.529681273,4.685898759,-10.848060004,29,-0.03831363050000002,1.885840047073096,-6.552340009,5.171491866,-2.3487721695,30,0.0083890304666667,1.2470535095511037,-5.412101845,2.695453543,-0.1888926249999997,36,-0.3422523370333333,4.347643427453768,-17.96157321,8.872656769,-20.858762224,29,-0.06126122193333335,3.3811202916852845,-12.36643842,9.746358801,-3.645450662500007,30,0.021011444733333343,2.3715063948004627,-10.22548842,5.088845247,0.030778854000000466,38,1.4206467696948044,1.5667275665077838,0.0590393555780104,8.17765200893597,85.12866912547747,36,1.1611644537113386,1.0991969049758874,0.13452250805808433,5.00992162593455,69.65393500998017,36,1.3077543423653288,1.3271500288094347,0.05233572690294339,7.002867090250898,78.37228562138847,32,1.3343483128462463,1.3114243649976396,0.1639840626569797,6.855981684168948,79.99211214661491,30,-2.4466609468812965,43.83451606226199,-78.38986983677336,81.22514956796462,-153.6033524945024,30,7.55254565073119,49.42472763260432,-72.88219878011229,73.80575991570197,442.212149323969,29,2.609409945087314,2.9014502301094454,0.099905478324503,15.419904529111745,156.33617149345133,36,2.1091888711898408,2.0202544439804937,0.2529849393278789,9.45582215208087,126.44777030513154,34,2.4534749725072165,2.5104327529768073,0.016982053125556888,13.200652599892631,146.99344010049842,32,2.4653232321110345,2.4389817235665894,0.2855162139450784,12.928563432979916,147.74295990495824,32,-2.206866713432545,43.22233588187884,-77.95703852659818,88.03092102790634,-132.68518301295015,27,7.574328512967823,49.55586124324447,-78.69450109284378,73.82216067592564,447.05945423621085,31,0
420,0.0787585312,0.6925626272678701,-1.771807114,1.451681769,4.5255438045,36,0.03415637528333333,0.6301412452409356,-2.125494985,1.213842029,2.4336001740000004,29,-0.018290837149999992,0.5505662248823858,-1.136447508,1.547144596,-1.6642146764999997,29,0.16621326753333335,1.2950811182665474,-3.301383758,2.871332578,9.549245212000002,38,0.04511977876666667,1.1336036327372419,-3.57714219,2.104966923,3.3795323525000005,29,-0.05263195666666667,1.0047254082444872,-2.149204913,2.919987114,-4.2777142050000005,31,0.537518529594598,0.39130436142226405,0.016387803282999526,1.6325876970459405,32.18583866202206,34,0.4912245972439236,0.3309827486110663,0.08523208921894936,1.594838585954034,29.137744850206662,32,0.5097412959166981,0.36717246908242995,0.04848108542029457,1.3637784556628798,30.16223696410034,36,0.5345776355394812,0.3317772964400424,0.117435935514128,1.4023761355080062,31.777224771673737,34,8.973219801532045,43.36250091491854,-83.74807401474136,87.40610440808761,572.3747586951695,34,5.779903363655729,46.53597795060526,-77.72010087178444,80.40078342346774,346.5143258954549,38,0.9950928202897243,0.711173502670532,0.03840021365957141,2.702524983346533,59.50006609282528,34,0.8949746949002967,0.5904984548675293,0.15962695294269263,2.6752879903523175,52.99604252879032,32,0.9465692088519584,0.6801171545167811,0.10497866502380537,2.5678244526198086,55.95325247607966,34,0.9840940230633524,0.605220365909045,0.22599413242906,2.355790430288288,58.42221874158589,34,8.321338351327558,43.159988064103224,-83.8529194345987,86.82221015094665,532.6604229684497,32,6.032027681620142,46.84214579134785,-77.8705419812946,82.34207473263757,362.5249598362184,38,0
480,-0.04262036718333335,0.7105850284449936,-1.441533439,1.282165053,-2.6440316034999993,38,0.03043876381666666,0.7203000102014543,-1.624276526,1.850780532,1.7874473795,36,0.054516215433333355,0.38159070898484027,-0.844830726,1.203268434,3.5590342184999977,37,-0.06303186731666667,1.3607286804578271,-2.687448294,2.454946699,-3.713086821999999,36,0.042112427233333305,1.3258048284089465,-3.068830345,2.457949141,2.6296394549999973,32,0.09249752406666668,0.6538441572125692,-1.439737502,1.449485374,6.088561066000002,33,0.6487594937082073,0.3039148236223906,0.05130956245053854,1.507659778349507,38.91512243580006,41,0.5118025851190072,0.2687548489782385,0.08594311667591277,1.56096820946024,30.7802012245075,40,0.5063202052394417,0.2670306768990415,0.03835979633030304,1.1332568908099299,30.556714359821605,33,0.580753802717209,0.23328434024107914,0.09130053776853458,1.4134981356863758,34.91195323984585,43,2.7508295363720356,51.27096552552576,-82.80979210254392,84.74211902152712,143.05941630282473,26,-2.493510668092283,49.5738494591484,-81.37413560296626,79.66047356172142,-159.781451746024,32,1.2274985904814961,0.5484441076398602,0.06680710049206488,2.423745819532019,73.72442540734251,39,0.9375726149626195,0.46771522146694666,0.15969948886119892,2.1821893902296083,56.46990369505792,37,0.9460535625472135,0.5007937926836032,0.07394500767420466,1.975927815621709,57.074058624767396,35,1.0859019354024355,0.41376579189403684,0.13982497897369245,2.1486503860825286,65.33105341845706,39,3.389030602480138,51.02584197927541,-85.02759635261916,84.40560523926032,188.18500984042456,25,-0.15807920714489493,50.64369702992606,-81.09858371688166,80.77277840288053,-4.649987205241153,34,0
540,-0.05140341985000001,0.7278249111395553,-2.317434245,1.624306808,-2.0207025625,31,-0.08306714991666664,0.8898632304866767,-2.124211642,1.57508125,-4.1025581214999995,29,0.028645604083333345,0.4327568315446307,-0.805985982,1.423912583,1.6193197129999997,25,-0.1031580844166667,1.3890426190183411,-4.395013278,3.045841796,-4.205401582500005,31,-0.12208561761666673,1.6656928944235871,-3.993277004,2.960293768,-5.525829144000001,29,0.08202681044999996,0.7734882923424413,-1.408495432,2.337733326,4.859388428499997,25,0.7239712241597812,0.3760714469301111,0.09266416837633738,1.8515243352703648,42.71629276650977,40,0.6224090717237606,0.3256298981368593,0.184491466564005,1.5348490572382967,37.12820604002961,36,0.5290764588974973,0.2833960656134746,0.02323790292419177,1.6395485539113395,31.042953431550192,34,0.6570173841766742,0.27338108308477094,0.1578552280521684,1.512395690018934,38.849147664215586,38,3.361329548307863,54.57315418193474,-79.21722614939326,88.42537701599576,253.25599673029788,31,-1.4841888553838616,45.372173432146504,-80.5883191548628,78.03728363622419,-66.1912635129544,32,1.3642595040475636,0.7096163455078072,0.06655897519935171,3.5031387640667275,80.59185276199474,42,1.1597158073505227,0.5935354854379591,0.3427410112522492,2.8860219479706872,69.2464472672685,40,0.988342116085023,0.5438075243128001,0.038704948831160865,3.1093868039252186,57.92390947649808,32,1.2288820178263944,0.5177123394331816,0.29910187470965216,2.861491061181576,72.70791419587512,40,4.200989159666722,54.95401599011128,-79.44987572456759,88.64401315378433,307.63080680597585,31,-1.8156990486740563,45.16512547034219,-80.70614534277256,77.88449330615732,-86.1907603857832,32,0
